time            A               B               Y              
0.000000000e+00 3.000000000e+00 8.000000000e+00 5.000000000e+00
1.002004008e+01 2.468480409e+00 7.225768374e+00 4.928214570e+00
2.004008016e+01 2.447254153e+00 7.220394791e+00 4.882475564e+00
3.006012024e+01 2.433844042e+00 7.239987626e+00 4.850987303e+00
4.008016032e+01 2.423030144e+00 7.268398642e+00 4.824708215e+00
5.010020040e+01 2.412981857e+00 7.299850437e+00 4.800433120e+00
6.012024048e+01 2.403074275e+00 7.332321927e+00 4.777047942e+00
7.014028056e+01 2.393096462e+00 7.365109140e+00 4.754162139e+00
8.016032064e+01 2.382979145e+00 7.397968573e+00 4.731634454e+00
9.018036072e+01 2.372701259e+00 7.430817875e+00 4.709409617e+00
1.002004008e+02 2.362258374e+00 7.463631065e+00 4.687462045e+00
1.102204409e+02 2.351651634e+00 7.496401889e+00 4.665776556e+00
1.202404810e+02 2.340884053e+00 7.529130939e+00 4.644341581e+00
1.302605210e+02 2.329959311e+00 7.561821170e+00 4.623146942e+00
1.402805611e+02 2.318881178e+00 7.594476276e+00 4.602183042e+00
1.503006012e+02 2.307653515e+00 7.627100201e+00 4.581440638e+00
1.603206413e+02 2.296280139e+00 7.659696878e+00 4.560910694e+00
1.703406814e+02 2.284764828e+00 7.692270179e+00 4.540584364e+00
1.803607214e+02 2.273111313e+00 7.724823897e+00 4.520452970e+00
1.903807615e+02 2.261323279e+00 7.757361717e+00 4.500508033e+00
2.004008016e+02 2.249404357e+00 7.789887228e+00 4.480741248e+00
2.104208417e+02 2.237358136e+00 7.822403916e+00 4.461144473e+00
2.204408818e+02 2.225188157e+00 7.854915172e+00 4.441709740e+00
2.304609218e+02 2.212897918e+00 7.887424288e+00 4.422429243e+00
2.404809619e+02 2.200490870e+00 7.919934450e+00 4.403295354e+00
2.505010020e+02 2.187970422e+00 7.952448747e+00 4.384300610e+00
2.605210421e+02 2.175339937e+00 7.984970165e+00 4.365437717e+00
2.705410822e+02 2.162602736e+00 8.017501586e+00 4.346699546e+00
2.805611222e+02 2.149762099e+00 8.050045794e+00 4.328079133e+00
2.905811623e+02 2.136821267e+00 8.082605469e+00 4.309569674e+00
3.006012024e+02 2.123783438e+00 8.115183194e+00 4.291164528e+00
3.106212425e+02 2.110651774e+00 8.147781450e+00 4.272857208e+00
3.206412826e+02 2.097429396e+00 8.180402616e+00 4.254641395e+00
3.306613226e+02 2.084119393e+00 8.213048977e+00 4.236510911e+00
3.406813627e+02 2.070724809e+00 8.245722714e+00 4.218459749e+00
3.507014028e+02 2.057248661e+00 8.278425910e+00 4.200482043e+00
3.607214429e+02 2.043693926e+00 8.311160551e+00 4.182572080e+00
3.707414830e+02 2.030063548e+00 8.343928524e+00 4.164724303e+00
3.807615230e+02 2.016360443e+00 8.376731622e+00 4.146933286e+00
3.907815631e+02 2.002587485e+00 8.409571533e+00 4.129193771e+00
4.008016032e+02 1.988747528e+00 8.442449861e+00 4.111500620e+00
4.108216433e+02 1.974843385e+00 8.475368103e+00 4.093848857e+00
4.208416834e+02 1.960877847e+00 8.508327667e+00 4.076233635e+00
4.308617234e+02 1.946853672e+00 8.541329867e+00 4.058650245e+00
4.408817635e+02 1.932773588e+00 8.574375919e+00 4.041094129e+00
4.509018036e+02 1.918640295e+00 8.607466948e+00 4.023560853e+00
4.609218437e+02 1.904456469e+00 8.640603986e+00 4.006046117e+00
4.709418838e+02 1.890224760e+00 8.673787975e+00 3.988545752e+00
4.809619238e+02 1.875947790e+00 8.707019765e+00 3.971055722e+00
4.909819639e+02 1.861628154e+00 8.740300115e+00 3.953572122e+00
5.010020040e+02 1.847268431e+00 8.773629699e+00 3.936091162e+00
5.110220441e+02 1.832871167e+00 8.807009096e+00 3.918609185e+00
5.210420842e+02 1.818438883e+00 8.840438794e+00 3.901122666e+00
5.310621242e+02 1.803974084e+00 8.873919198e+00 3.883628189e+00
5.410821643e+02 1.789479250e+00 8.907450628e+00 3.866122465e+00
5.511022044e+02 1.774956837e+00 8.941033321e+00 3.848602329e+00
5.611222445e+02 1.760409281e+00 8.974667426e+00 3.831064731e+00
5.711422846e+02 1.745838994e+00 9.008353001e+00 3.813506737e+00
5.811623246e+02 1.731248360e+00 9.042090011e+00 3.795925529e+00
5.911823647e+02 1.716639749e+00 9.075878341e+00 3.778318402e+00
6.012024048e+02 1.702015515e+00 9.109717820e+00 3.760682767e+00
